Sample,Treatment ,TRT,ID,Rep,Sex,Location,Crop
JORF1,JORF,JOR,JORF1,R1,Female,Jefferson,Blueberry
JORF3,JORF,JOR,JORF3,R2,Female,Jefferson,Blueberry
JORF5,JORF,JOR,JORF5,R3,Female,Jefferson,Blueberry
JORF12,JORF,JOR,JORF12,R4,Female,Jefferson,Blueberry
JORF9,JORF,JOR,JORF9,R5,Female,Jefferson,Blueberry
JORM2,JORM,JOR,JORM2,R1,Male,Jefferson,Blueberry
JORM4,JORM,JOR,JORM4,R2,Male,Jefferson,Blueberry
JORM5,JORM,JOR,JORM5,R3,Male,Jefferson,Blueberry
JORM8,JORM,JOR,JORM8,R4,Male,Jefferson,Blueberry
JORM10,JORM,JOR,JORM10,R5,Male,Jefferson,Blueberry
JORM11,JORM,JOR,JORM11,R6,Male,Jefferson,Blueberry
JORM13,JORM,JOR,JORM13,R7,Male,Jefferson,Blueberry
JORM14,JORM,JOR,JORM14,R8,Male,Jefferson,Blueberry
JORM15,JORM,JOR,JORM15,R9,Male,Jefferson,Blueberry
JORM16,JORM,JOR,JORM16,R10,Male,Jefferson,Blueberry
COMOF1,COMOF,COMO,COMOF1,R1,Female,Columbia,Elderberry
COMOF2,COMOF,COMO,COMOF2,R2,Female,Columbia,Elderberry
COMOF3,COMOF,COMO,COMOF3,R3,Female,Columbia,Elderberry
COMOF7,COMOF,COMO,COMOF7,R4,Female,Columbia,Elderberry
COMOF8,COMOF,COMO,COMOF8,R5,Female,Columbia,Elderberry
COMOF10,COMOF,COMO,COMOF10,R6,Female,Columbia,Elderberry
COMOF11,COMOF,COMO,COMOF11,R7,Female,Columbia,Elderberry
COMOF12,COMOF,COMO,COMOF12,R8,Female,Columbia,Elderberry
COMOF13,COMOF,COMO,COMOF13,R9,Female,Columbia,Elderberry
COMOM10,COMOM,COMO,COMOM10,R1,Male,Columbia,Elderberry
COMOM11,COMOM,COMO,COMOM11,R2,Male,Columbia,Elderberry
COMOM1,COMOM,COMO,COMOM1,R3,Male,Columbia,Elderberry
AORF10,AORF,AOR,AORF10,R1,Female,Amity,Blueberry
AORF13,AORF,AOR,AORF13,R2,Female,Amity,Blueberry
AORF15,AORF,AOR,AORF15,R3,Female,Amity,Blueberry
AORF16,AORF,AOR,AORF16,R4,Female,Amity,Blueberry
AORF17,AORF,AOR,AORF17,R5,Female,Amity,Blueberry
AORM10,AORM,AOR,AORM10,R1,Male,Amity,Blueberry
AORM11,AORM,AOR,AORM11,R2,Male,Amity,Blueberry
AORM12,AORM,AOR,AORM12,R3,Male,Amity,Blueberry
AORM14,AORM,AOR,AORM14,R4,Male,Amity,Blueberry
AORM16,AORM,AOR,AORM16,R5,Male,Amity,Blueberry
AORM17,AORM,AOR,AORM17,R6,Male,Amity,Blueberry
CRORF10,CRORF,CROR,CRORF10,R1,Female,Corvallis,Blackberry
CRORF11,CRORF,CROR,CRORF11,R2,Female,Corvallis,Blackberry
CRORF12,CRORF,CROR,CRORF12,R3,Female,Corvallis,Blackberry
CRORF2,CRORF,CROR,CRORF2,R4,Female,Corvallis,Blackberry
CRORF7,CRORF,CROR,CRORF7,R5,Female,Corvallis,Blackberry
CRORF13,CRORF,CROR,CRORF13,R6,Female,Corvallis,Blackberry
CRORF14,CRORF,CROR,CRORF14,R7,Female,Corvallis,Blackberry
CRORF15,CRORF,CROR,CRORF15,R8,Female,Corvallis,Blackberry
CRORM12,CRORM,CROR,CRORM12,R1,Male,Corvallis,Blackberry
CRORM13,CRORM,CROR,CRORM13,R2,Male,Corvallis,Blackberry
CRORM17,CRORM,CROR,CRORM17,R3,Male,Corvallis,Blackberry
